date,product_category,quantity,unit_price,total_amount,customer_id,region,payment_method,sales_rep,discount_percentage,cost_price,profit
2024-01-05,Electronics,45,299.99,13499.55,C1001,North,Credit Card,Alice Johnson,5,220.00,3599.55
2024-01-08,Clothing,120,49.99,5998.80,C1002,South,Debit Card,Bob Smith,10,30.00,2398.80
2024-01-12,Home & Garden,35,89.99,3149.65,C1003,East,Credit Card,Carol Davis,0,55.00,1225.65
2024-01-15,Electronics,62,199.99,12399.38,C1004,West,PayPal,David Wilson,8,150.00,3099.38
2024-01-18,Food & Beverage,200,12.99,2598.00,C1005,North,Cash,Emma Brown,0,8.00,998.00
2024-01-22,Sports,78,79.99,6239.22,C1006,South,Credit Card,Frank Miller,12,50.00,2339.22
2024-01-25,Electronics,28,499.99,13999.72,C1007,East,Debit Card,Alice Johnson,3,380.00,3359.72
2024-01-28,Clothing,156,34.99,5458.44,C1008,West,Credit Card,Bob Smith,15,20.00,2338.44
2024-02-02,Home & Garden,42,129.99,5459.58,C1009,North,PayPal,Carol Davis,7,85.00,1883.58
2024-02-05,Electronics,91,149.99,13649.09,C1010,South,Credit Card,David Wilson,10,110.00,3599.09
2024-02-08,Food & Beverage,180,15.99,2878.20,C1011,East,Cash,Emma Brown,0,10.00,1078.20
2024-02-12,Sports,65,99.99,6499.35,C1012,West,Debit Card,Frank Miller,5,65.00,2249.35
2024-02-15,Electronics,53,349.99,18549.47,C1013,North,Credit Card,Alice Johnson,6,270.00,4249.47
2024-02-18,Clothing,189,29.99,5668.11,C1014,South,PayPal,Bob Smith,20,18.00,2248.11
2024-02-22,Home & Garden,38,159.99,6079.62,C1015,East,Credit Card,Carol Davis,8,105.00,2099.62
2024-02-25,Electronics,74,249.99,18499.26,C1016,West,Debit Card,David Wilson,4,190.00,4449.26
2024-02-28,Food & Beverage,220,9.99,2197.80,C1017,North,Cash,Emma Brown,0,6.00,877.80
2024-03-03,Sports,88,69.99,6159.12,C1018,South,Credit Card,Frank Miller,10,45.00,2199.12
2024-03-06,Electronics,47,399.99,18799.53,C1019,East,PayPal,Alice Johnson,7,310.00,4249.53
2024-03-09,Clothing,142,44.99,6388.58,C1020,West,Debit Card,Bob Smith,12,28.00,2408.58
2024-03-12,Home & Garden,51,109.99,5609.49,C1021,North,Credit Card,Carol Davis,5,70.00,2039.49
2024-03-15,Electronics,83,179.99,14939.17,C1022,South,Cash,David Wilson,9,135.00,3739.17
2024-03-18,Food & Beverage,195,13.99,2728.05,C1023,East,Credit Card,Emma Brown,0,9.00,968.05
2024-03-22,Sports,72,89.99,6479.28,C1024,West,PayPal,Frank Miller,8,58.00,2279.28
2024-03-25,Electronics,66,279.99,18479.34,C1025,North,Debit Card,Alice Johnson,6,215.00,4279.34
2024-03-28,Clothing,168,39.99,6718.32,C1026,South,Credit Card,Bob Smith,15,24.00,2678.32
2024-04-01,Home & Garden,44,139.99,6159.56,C1027,East,Cash,Carol Davis,10,92.00,2099.56
2024-04-04,Electronics,95,219.99,20899.05,C1028,West,Credit Card,David Wilson,5,168.00,4924.05
2024-04-07,Food & Beverage,210,11.99,2517.90,C1029,North,Debit Card,Emma Brown,0,7.50,942.90
2024-04-10,Sports,81,74.99,6074.19,C1030,South,PayPal,Frank Miller,7,48.00,2174.19
2024-04-13,Electronics,58,329.99,19139.42,C1031,East,Credit Card,Alice Johnson,8,255.00,4339.42
2024-04-16,Clothing,175,42.99,7523.25,C1032,West,Cash,Bob Smith,18,26.00,2948.25
2024-04-19,Home & Garden,49,119.99,5879.51,C1033,North,Credit Card,Carol Davis,6,78.00,2049.51
2024-04-22,Electronics,87,189.99,16529.13,C1034,South,Debit Card,David Wilson,11,145.00,3929.13
2024-04-25,Food & Beverage,230,10.99,2527.70,C1035,East,PayPal,Emma Brown,0,7.00,917.70
2024-04-28,Sports,69,94.99,6554.31,C1036,West,Credit Card,Frank Miller,9,62.00,2264.31
2024-05-01,Electronics,71,289.99,20589.29,C1037,North,Cash,Alice Johnson,4,225.00,4589.29
2024-05-04,Clothing,198,37.99,7522.02,C1038,South,Credit Card,Bob Smith,14,23.00,2938.02
2024-05-07,Home & Garden,56,99.99,5599.44,C1039,East,Debit Card,Carol Davis,8,65.00,1949.44
2024-05-10,Electronics,102,159.99,16318.98,C1040,West,PayPal,David Wilson,12,122.00,3838.98
2024-05-13,Food & Beverage,245,8.99,2202.55,C1041,North,Cash,Emma Brown,0,5.50,852.55
2024-05-16,Sports,93,64.99,6044.07,C1042,South,Credit Card,Frank Miller,6,42.00,2144.07
2024-05-19,Electronics,49,419.99,20579.51,C1043,East,Debit Card,Alice Johnson,5,325.00,4679.51
2024-05-22,Clothing,161,46.99,7565.39,C1044,West,Credit Card,Bob Smith,16,29.00,2905.39
2024-05-25,Home & Garden,62,149.99,9299.38,C1045,North,PayPal,Carol Davis,9,98.00,3199.38
2024-05-28,Electronics,79,229.99,18169.21,C1046,South,Cash,David Wilson,7,175.00,4294.21
2024-06-01,Food & Beverage,215,14.99,3222.85,C1047,East,Credit Card,Emma Brown,0,9.50,1172.85
2024-06-04,Sports,85,84.99,7224.15,C1048,West,Debit Card,Frank Miller,10,55.00,2524.15
